candidate_id	group	pair_id	A_local	B_global	A_B_shape_tanimoto_similarity	A_to_B_shape_protrude_distance	generated_shape_similarity_B	prepared_shape_similarity_B	minimized_shape_similarity_B	delta_shape_generated_to_minimized	delta_shape_prepared_to_minimized	generated_protrude_B	prepared_protrude_B	minimized_protrude_B	delta_protrude_generated_to_minimized	delta_protrude_prepared_to_minimized	generated_warhead_rmsd_A	prepared_warhead_rmsd_A	minimized_warhead_rmsd_A	warhead_drift_generation_to_minimized	warhead_drift_prepared_to_minimized	generated_warhead_max_displacement_A	prepared_warhead_max_displacement_A	minimized_warhead_max_displacement_A	warhead_pass_generated_0p2A	warhead_pass_minimized_0p2A
x0434_x1093_seed3303_lambda100_sample3	negative_control	x0434_x1093	x0434	x1093	0.5495998511073887	0.220844327176781	0.34926529953172936	0.34926529953172936	0.4095860566448801	0.06032075711315077	0.06032075711315077	0.4346576058546785	0.4346576058546785	0.41988097862023366	-0.014776627234444839	-0.014776627234444839	0.042584370036770056	0.042584370036770056	0.1546683086940749	0.11208393865730486	0.11208393865730486	0.07469939758793194	0.07469939758793194	0.25727028588626305	True	True
x0434_x1093_seed3303_lambda200_sample7	negative_control	x0434_x1093	x0434	x1093	0.5495998511073887	0.220844327176781	0.46681007990165946	0.46681007990165946	0.46645981087470445	-0.00035026902695500794	-0.00035026902695500794	0.39686321222950166	0.39686321222950166	0.4148285449490269	0.017965332719525218	0.017965332719525218	0.06420280367709887	0.06420280367709887	0.22321290285285975	0.15901009917576087	0.15901009917576087	0.08575546629807412	0.08575546629807412	0.41334973085754007	True	False
x0434_x1093_seed4404_lambda20_sample2	recoverable	x0434_x1093	x0434	x1093	0.5495998511073887	0.220844327176781	0.380985069504033	0.380985069504033	0.3843157181571816	0.0033306486531485824	0.0033306486531485824	0.37181663837011886	0.37181663837011886	0.3769906644700714	0.0051740260999525445	0.0051740260999525445	0.05117337477355067	0.05117337477355067	0.13257504613290888	0.08140167135935822	0.08140167135935822	0.06912307863514144	0.06912307863514144	0.2007211996775637	True	True
x0434_x1093_seed5505_lambda100_sample4	recoverable	x0434_x1093	x0434	x1093	0.5495998511073887	0.220844327176781	0.4180129990714949	0.4180129990714949	0.45974655236675366	0.04173355329525874	0.04173355329525874	0.27574002574002576	0.27574002574002576	0.2537810042347247	-0.021959021505301046	-0.021959021505301046	0.0530915651089171	0.0530915651089171	0.14677144525709795	0.09367988014818085	0.09367988014818085	0.09249324299644912	0.09249324299644912	0.22701982292302228	True	True
x0434_x1093_seed5505_lambda20_sample3	recoverable	x0434_x1093	x0434	x1093	0.5495998511073887	0.220844327176781	0.423950056753689	0.423950056753689	0.2844474761255116	-0.13950258062817744	-0.13950258062817744	0.25324891702765745	0.25324891702765745	0.4452943132690389	0.19204539624138145	0.19204539624138145	0.05435334133506189	0.05435334133506189	0.19408466488328582	0.13973132354822393	0.13973132354822393	0.08195730595865229	0.08195730595865229	0.25899227787715956	True	True
x0434_x1093_seed5505_lambda50_sample8	recoverable	x0434_x1093	x0434	x1093	0.5495998511073887	0.220844327176781	0.40920327058376116	0.40920327058376116	0.3712318570896911	-0.03797141349407007	-0.03797141349407007	0.24912770411723656	0.24912770411723656	0.29802955665024633	0.04890185253300977	0.04890185253300977	0.046503456092762054	0.046503456092762054	0.2080669535098189	0.16156349741705686	0.16156349741705686	0.06061352984276683	0.06061352984276683	0.39855990766759397	True	False
x0434_x2193_seed3303_lambda20_sample7	pilot_recoverable	x0434_x2193	x0434	x2193	0.12564841498559076	0.7693121693121693	0.3008239126269401	0.3008239126269401	0.23205524259494825	-0.06876867003199183	-0.06876867003199183	0.43403028118240805	0.43403028118240805	0.534111638088289	0.10008135690588094	0.10008135690588094	0.044764462946148297	0.044764462946148297	0.08391662528962923	0.039152162343480935	0.039152162343480935	0.057436921923097156	0.057436921923097156	0.12887590930813939	True	True
x0434_x2193_seed4404_lambda20_sample5	recoverable	x0434_x2193	x0434	x2193	0.12564841498559076	0.7693121693121693	0.25348448243820854	0.25348448243820854	0.22480201583873294	-0.028682466599475598	-0.028682466599475598	0.5029154518950437	0.5029154518950437	0.5505577545879813	0.047642302692937566	0.047642302692937566	0.04955372265099159	0.04955372265099159	0.13294896980205848	0.08339524715106689	0.08339524715106689	0.061595454377738786	0.061595454377738786	0.19153328692423305	True	True
x0434_x2193_seed5505_lambda50_sample8	recoverable	x0434_x2193	x0434	x2193	0.12564841498559076	0.7693121693121693	0.2600036543029417	0.2600036543029417	0.21710290426676226	-0.042900750036179436	-0.042900750036179436	0.5050434782608696	0.5050434782608696	0.5615496017378712	0.05650612347700157	0.05650612347700157	0.047629522657396575	0.047629522657396575	0.13939307217874433	0.09176354952134776	0.09176354952134776	0.07555792479945457	0.07555792479945457	0.20923909768492244	True	True
x0874_x1093_seed1101_lambda50_sample9	negative_control	x0874_x1093	x0874	x1093	0.27184779103515	0.5004444444444445	0.3415654520917679	0.3415654520917679	0.4210162938414802	0.07945084174971229	0.07945084174971229	0.5322491221585659	0.5322491221585659	0.4728561549100968	-0.0593929672484691	-0.0593929672484691	0.05446099521676044	0.05446099521676044	0.3541281043432081	0.2996671091264477	0.2996671091264477	0.0914494395827555	0.0914494395827555	0.6052635789472234	True	False
