pair_id	lambda_global	full_similarity_B_mean	full_similarity_B_sd	parent_similarity_B_mean	parent_similarity_B_sd	inflation_gap_mean	inflation_gap_sd
x0434_x1093	0.0	0.2244935824896348	0.01858448626851159	0.21003829265873764	0.02232567193282816	0.01445528983089719	0.02186065289756215
x0434_x1093	20.0	0.24552130518095167	0.021248837326479413	0.23167633680769756	0.051792015333881766	0.01384496837325413	0.04033187039071932
x0434_x1093	50.0	0.28558231502885345	0.03386035030125352	0.27724014233359506	0.0443142085058692	0.008342172695258365	0.024318416995133214
x0434_x1093	100.0	0.3063421826908865	0.02680337917589108	0.2621972028716821	0.030149120952860944	0.04414497981920438	0.01962633054199978
x0434_x1093	200.0	0.31502957180433305	0.02055564947268365	0.2633048589957113	0.019462296019233487	0.05172471280862172	0.018549786270607663
x0874_x1093	0.0	0.1942372598602652	0.017352131444510803	0.2013471098832243	0.01452401105169773	-0.0071098500229590965	0.01251233942389727
x0874_x1093	20.0	0.25597253402733855	0.023054551771979223	0.2303671484610815	0.009274639369701352	0.025605385566257088	0.02866777091297338
x0874_x1093	50.0	0.29466552210112285	0.031044556817624375	0.23966802637367982	0.012474159382973783	0.054997495727443016	0.02370979840044528
x0874_x1093	100.0	0.3093971322014409	0.009424839710877143	0.22676426371694344	0.014839625602054644	0.0826328684844974	0.0091895051468441
x0874_x1093	200.0	0.2773935317352759	0.02252001181171165	0.21431415138044124	0.018350683467916053	0.06307938035483465	0.00752048963749451
x0434_x2193	0.0	0.19417931130915203	0.02123687287372133	0.19027656979320565	0.020911984306635507	0.003902741515946384	0.007707038567191117
x0434_x2193	20.0	0.23751627291338923	0.011453508083506403	0.20851310122393568	0.013131043005145534	0.029003171689453544	0.011238403738807686
x0434_x2193	50.0	0.22653235638655148	0.010113671905235174	0.1747946221620322	0.027841997360253324	0.05173773422451926	0.023110913389354375
x0434_x2193	100.0	0.23153903286683267	0.01087830317122185	0.15421959685219122	0.0065275543927420885	0.07731943601464145	0.009836875598624213
x0434_x2193	200.0	0.21252071996398794	0.005293987165367319	0.15266557491527347	0.01715736121441858	0.059855145048714455	0.014888459124728911
